No,SMILES,Cl-C,"(C=C),(C-C),(C-C),xC",O=C-C-O,C=C-C=C,C-N=O,"(C-C),xC",I-C-C=C,C-C-F,C-C=C-O,"(C-C),(C-C),xC",S-C,C-O-C=O,"(C=O),(C-C),(C-O),xC","(C-C),(C-O),xC",Br-C-C-O,"(C-O),xC","(C=O),(C-C),xC",C=O,C=C-C=O,"(Br-C),xBr",N,Br-C=C-Br,pLC50,Series
C_045,CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,0,1,0,3,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,T
C_048,OC1=C(CC=C)C=CC=C1,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.33,T
C_049,NC1=C(O)C=C(C(Cl)=C1)[N+]([O-])=O,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1.17,T
C_053,NC1=C(O)C=CC=C1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.94,T
C_054,OC1=C(NC(=O)CBr)C=C(C=C1)[N+]([O-])=O,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0.87,T
C_055,CC1=CC(Br)=C(O)C=C1,0,1,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.6,T
C_057,CC1=CC(O)=C(Cl)C=C1C,1,2,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,T
C_058,OC1=C(Cl)C=C(C=C1)[N+]([O-])=O,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.59,T
C_060,OC1=C(CCl)C=C(C=C1)[N+]([O-])=O,1,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,T
C_062,CC1=C(O)C=CC=C1,0,1,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,T
C_063,OC1=C(C=CC=C1)C#N,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.03,T
C_065,CCCCC(CC)COC(=O)C1=CC=C(O)C=C1,0,0,0,3,0,2,0,0,1,4,0,1,1,1,0,0,0,1,1,0,0,0,2.51,T
C_067,OC1=CC=C(C=C1F)[N+]([O-])=O,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.07,T
C_068,OC1=C(F)C=CC=C1,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,T
C_069,CC(=O)C1=CC(C)=C(C)C=C1O,0,2,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0.71,T
C_071,COC1=CC(O)=C(C=C1)C(=O)C1=CC=CC=C1,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,1,0,1,2,0,0,0,1.42,T
C_072,CC(=O)C1=C(O)C=CC(C)=C1,0,1,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0.31,T
C_073,COC1=C(C=O)C(O)=CC=C1,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0.38,T
C_074,OCC(=O)C1=CC=CC=C1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0.08,T
C_075,OC1=C(C=O)C=CC=C1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0.42,T
C_076,NC(=O)C1=C(O)C=CC=C1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,-0.24,T
C_077,OC(=O)C1=C(O)C=CC=C1,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,-0.51,T
C_078,[H]OC1=C([H])C([H])=C([H])C([H])=C1C#N,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.03,T
C_080,OCC1=CC=CC=C1O,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.95,T
C_081,OC1=C(CC2=CC=CC=C2)C=CC=C1,0,0,0,6,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1.31,T
C_082,OCCOC(=O)C1=C(O)C=CC=C1,0,0,0,3,0,0,0,0,2,0,0,1,1,2,0,0,0,1,1,0,0,0,-0.08,T
C_086,CC1=C(C=CC=C1O)[N+]([O-])=O,0,1,0,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.78,T
C_090,[O-][N+](=O)C1=C(Cl)C(=C(Cl)C=C1Cl)[N+]([O-])=O,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2.19,T
C_093,OC1=C(C=CC=C1)C1=CC=CC=C1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,T
C_095,CC1=CC(=C(O)C=C1)C(C)(C)C,0,1,0,3,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,T
C_097,COC1=CC=CC(C=O)=C1O,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0.38,T
C_100,OC1=CC(Cl)=C(Cl)C=C1,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,T
C_101,CC1=C(C)C=C(O)C=C1,0,2,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,T
C_102,OC1=CC=C(C(=C1)[N+]([O-])=O)[N+]([O-])=O,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0.27,T
C_103,OC1=C(C=O)C=C(Br)C=C1Br,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,2,0,0,1.64,T
C_104,OC1=CC(Cl)=CC(Cl)=C1,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,T
C_105,OC1=C(C=O)C=C(Cl)C=C1Cl,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1.55,T
C_106,OC1=C(C=O)C=C(I)C=C1I,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2.34,T
C_107,COC1=CC(OC)=CC(O)=C1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,-0.09,T
C_109,OC1=CC(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1.39,T
C_110,CC(C)(C)C1=CC(=C(O)C(O)=C1)C(C)(C)C,0,0,0,3,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11,T
C_112,CC(=O)NC1=CC=CC(O)=C1,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.16,T
C_113,NC1=CC(O)=CC=C1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.52,T
C_114,OC1=CC(Br)=CC=C1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.15,T
C_115,[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.98,T
C_116,OC1=CC=C(F)C(Cl)=C1,1,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,T
C_117,COC1=CC(O)=CC(Cl)=C1,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.76,T
C_118,OC1=CC(Cl)=CC=C1,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,T
C_119,CC1=CC=CC(O)=C1,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06,T
C_120,OC1=CC(=CC=C1)C#N,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.06,T
C_122,CCOC1=CC(O)=CC=C1OC,0,0,0,3,0,1,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.3,T
C_123,CCC1=CC=CC(O)=C1,0,0,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.23,T
C_124,OC1=CC=C(C(F)=C1)[N+]([O-])=O,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.94,T
C_125,OC1=CC(F)=CC=C1,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,T
C_126,COC1=C(O)C=C(C=O)C=C1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0,0,-0.14,T
C_127,COC1=C(O)C=C(CO)C=C1,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.99,T
C_128,OC1=C(C=CC(C=O)=C1)[N+]([O-])=O,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0.27,T
C_129,CC(=O)C1=CC=CC(O)=C1,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,-0.38,T
C_130,OC1=CC=CC(C=O)=C1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0.09,T
C_131,OC(=O)C1=CC=CC(O)=C1,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,-0.81,T
C_134,OC1=CC(I)=CC=C1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,T
C_135,CC(C)C1=CC=CC(O)=C1,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,T
C_137,COC1=CC=CC(O)=C1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.33,T
C_138,[O-][N+](=O)C1=CC=C(NC2=CC=CC=C2)C=C1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.89,T
C_139,CC1=CC=CC(O)=C1[N+]([O-])=O,0,1,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.61,T
C_140,CC1=C(C=CC(O)=C1)[N+]([O-])=O,0,1,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.73,T
C_141,CC1=C(O)C(O)=CC=C1,0,1,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,T
C_142,[O-][N+](=O)C1=C(Cl)C(Cl)=CC(Cl)=C1Cl,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.82,T
C_143,OC1=CC=CC(=C1)[N+]([O-])=O,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.51,T
C_144,OC1=CC(=CC=C1)C1=CC=CC=C1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,T
C_145,CC(C)(C)C1=CC=CC(O)=C1,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,T
C_147,OC1=CC=C(C=C1)C1=CC=C(Br)C=C1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.31,T
C_148,CC(=O)CCC1=CC=C(O)C=C1,0,0,0,3,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,-0.5,T
C_150,[O-][N+](=O)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.78,T
C_151,CC(=O)NC1=CC=C(O)C=C1,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.82,T
C_153,COC1=C(O)C=CC(CC=C)=C1,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0.42,T
C_154,CC1=C(N)C=CC(O)=C1C,0,2,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1.44,T
C_156,NC1=CC(=C(O)C=C1)[N+]([O-])=O,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0.88,T
C_157,NC1=CC=C(O)C=C1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.08,T
C_158,OC1=CC=C(OCC2=CC=CC=C2)C=C1,0,0,0,6,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1.04,T
C_160,CC1=CC(Br)=CC(C)=C1O,0,2,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1.17,T
C_161,OC1=C(F)C=C(Br)C=C1[N+]([O-])=O,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.62,T
C_164,[O-][N+](=O)C1=CC(=CC=C1)C1=CC=CC=C1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.57,T
C_165,[O-][N+](=O)C1=C(Cl)C=C(Cl)C(Cl)=C1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.53,T
C_166,OC1=CC=C(Br)C=C1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.68,T
C_167,CCCCOC1=CC=C(O)C=C1,0,0,0,3,0,1,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0.7,T
C_168,OC(=O)C1=CC=C(O)C=C1,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,-1.02,T
C_169,CC(C)C1=CC(Cl)=C(C)C=C1O,1,1,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,T
C_172,CC1=CC(O)=CC(C)=C1Cl,1,2,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,T
C_174,CC1=CC(O)=C(C=C1Cl)[N+]([O-])=O,1,1,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.63,T
C_175,CC1=C(Cl)C=CC(O)=C1,1,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,T
C_176,OC1=CC=C(Cl)C(=C1)[N+]([O-])=O,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.27,T
C_177,CC1=CC=C(C(=C1)[N+]([O-])=O)[N+]([O-])=O,0,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.52,T
C_178,[O-][N+](=O)C1=C(Cl)C(Cl)=C(Cl)C=C1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.51,T
C_179,OC1=C(O)C=C(Cl)C=C1,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,T
C_181,OC1=CC(O)=C(Cl)C=C1,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,T
C_182,CC1=CC=C(O)C=C1,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18,T
C_183,OC1=CC=C(C=C1)C#N,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.52,T
C_186,CCOC1=CC=C(O)C=C1,0,0,0,3,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0.01,T
C_187,CCC1=CC=C(O)C=C1,0,0,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21,T
C_188,OC1=CC=C(F)C=C1[N+]([O-])=O,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.38,T
C_192,CCCCCCC1=C(O)C=C(O)C=C1,0,0,0,3,0,1,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1.8,T
C_194,COC1=C(O)C=CC(=C1)C(C)=O,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,-0.12,T
C_196,COC1=CC(CO)=CC=C1O,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.7,T
C_197,[O-][N+](=O)C1=C(Cl)C=C(Cl)C=C1Cl,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.43,T
C_198,COC1=C(O)C=CC(CCO)=C1,0,0,0,3,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,-0.18,T
C_199,OC1=C(C=C(C=O)C=C1)[N+]([O-])=O,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0.61,T
C_200,COC1=CC=C(C=C1)[N+]([O-])=O,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.54,T
C_201,OC1=CC=C(C=O)C=C1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0.27,T
C_202,NC(=O)C1=CC=C(O)C=C1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,-0.78,T
C_203,CCCCOC1=CC=C(C=C1)[N+]([O-])=O,0,0,0,3,1,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,1.42,T
C_206,OCCC1=CC=C(O)C=C1,0,0,0,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,-0.83,T
C_207,[O-][N+](=O)C1=C(Br)C=CC(Br)=C1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1.37,T
C_209,CCC(=O)C1=CC=C(O)C=C1,0,0,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0.05,T
C_210,OC1=CC=C(I)C=C1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,T
C_211,CC(C)C1=CC=C(O)C=C1,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,T
C_212,COC1=CC=C(O)C=C1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.14,T
C_213,CC1=CC(=C(O)C=C1)[N+]([O-])=O,0,1,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.57,T
C_216,[O-][N+](=O)C1=C(C=CC=C1)C1=CC=CC=C1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.3,T
C_218,CC1=CC(Br)=CC(Cl)=C1O,1,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.28,T
C_219,OC1=C(O)C=C(C=C1)[N+]([O-])=O,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1.17,T
C_220,OC1=CC=C(C=C1)[N+]([O-])=O,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.42,T
C_221,OC1=CC=C(C=C1)N=O,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.65,T
C_224,OC1=CC=C(OC2=CC=CC=C2)C=C1,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,T
C_225,OC1=CC=C(C=C1)C1=CC=CC=C1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,T
C_226,CCCOC1=CC=C(O)C=C1,0,0,0,3,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0.52,T
C_227,CCCC1=CC=C(O)C=C1,0,0,0,3,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.64,T
C_229,CC(C)(C)C1=CC(=C(O)C(=C1)[N+]([O-])=O)[N+]([O-])=O,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.8,T
C_230,CC(C)(C)C1=CC=C(O)C=C1,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,T
C_231,CC(C)(C)CC(C)(C)C1=CC=C(O)C=C1,0,0,0,3,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1,T
C_232,CCC(C)(C)C1=CC=C(O)C=C1,0,0,0,3,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.23,T
C_233,COC1=C(O)C=C(N)C=C1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0.45,T
C_235,COC1=CC(C=O)=CC(Br)=C1O,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0.62,T
C_236,[O-][N+](=O)C1=C(C=CC=C1)[N+]([O-])=O,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.25,T
C_237,CC(=O)C1=C(O)C=CC(F)=C1,0,0,0,3,0,1,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0.04,T
C_239,OC1=CC(C=O)=C(C=C1)[N+]([O-])=O,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0.33,T
C_241,CC1=CC(O)=CC(O)=C1,0,1,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.39,T
C_246,OC1=CC=C(C=C1)C(=O)CC1=CC=CC=C1,0,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1.07,T
C_249,OC1=C(O)C=CC=C1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,T
C_250,OC1=CC(Cl)=C(O)C=C1,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,T
C_251,CCOC(=O)C1=CC=CC(O)=C1,0,0,0,3,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0.48,T
C_252,CCOC(=O)CC1=CC(OC)=C(O)C=C1,0,0,0,3,0,1,0,0,2,1,0,1,1,1,0,1,0,1,0,0,0,0,-0.23,T
C_255,CC(C)CCOC(=O)C1=CC=C(O)C=C1,0,0,0,3,0,2,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1.48,T
C_256,N#CC1=CC=C(C=C1)C1=CC=CC=C1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.24,T
C_257,COC1=C(O)C=CC(O)=C1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2.2,T
